Order Date,Title,Category,Item Total
01/15/2024,Wireless Headphones,Electronics,$49.99
01/18/2024,Python Programming Book,Books,$34.99
01/22/2024,USB Cable 3-Pack,Electronics,$12.99
02/03/2024,Running Shoes,Clothing,$89.99
02/10/2024,Green Tea 100 bags,Grocery,$18.50
02/14/2024,Valentines Card Pack,Office Products,$8.99
02/20/2024,Laptop Stand,Electronics,$35.00
03/01/2024,Protein Powder,Health,$45.99
03/05/2024,Fiction Novel,Books,$16.99
03/12/2024,Phone Case,Electronics,$15.99
03/18/2024,Yoga Mat,Sports,$29.99
03/25/2024,Coffee Maker,Home & Kitchen,$79.99
04/02/2024,Notebook Set 5 Pack,Office Products,$12.50
04/08/2024,Vitamin D Supplements,Health,$14.99
04/15/2024,Desk Lamp LED,Home & Kitchen,$42.00
04/22/2024,T-Shirt 3 Pack,Clothing,$28.99
05/01/2024,External Hard Drive,Electronics,$64.99
05/10/2024,Italian Cookbook,Books,$22.99
05/15/2024,Water Bottle,Sports,$24.99
05/20/2024,Face Moisturizer,Beauty,$32.00
05/28/2024,Wireless Mouse,Electronics,$25.99
06/05/2024,Sunglasses,Clothing,$45.00
06/12/2024,Almonds 2 lb bag,Grocery,$15.99
06/18/2024,Bluetooth Speaker,Electronics,$55.00
06/25/2024,Fitness Tracker,Electronics,$129.99
